Park,Model,Hours,Task,Accuracy,RMSE
P1,PewLSTM,1h,departure,91.18,0.46
P1,GRU,1h,departure,78.38,1.34
P1,PewGRU,1h,departure,80.17,1.02
P2,PewLSTM,1h,departure,70.97,5.15
P2,GRU,1h,departure,77.79,2.96
P2,PewGRU,1h,departure,74.39,3.89
P3,PewLSTM,1h,departure,82.43,1.24
P3,GRU,1h,departure,71.05,1.7
P3,PewGRU,1h,departure,72.21,1.85
P4,PewLSTM,1h,departure,62.92,3.25
P4,GRU,1h,departure,82.08,3.26
P4,PewGRU,1h,departure,87.58,3.42
P5,PewLSTM,1h,departure,87.14,0.9
P5,GRU,1h,departure,64.83,2.31
P5,PewGRU,1h,departure,65.72,2.28
P6,PewLSTM,1h,departure,85.9,0.77
P6,GRU,1h,departure,86.41,0.63
P6,PewGRU,1h,departure,85.54,0.73
P7,PewLSTM,1h,departure,78.5,1.57
P7,GRU,1h,departure,83.95,1.21
P7,PewGRU,1h,departure,82.19,1.27
P8,PewLSTM,1h,departure,83.27,1.91
P8,GRU,1h,departure,87.81,1.24
P8,PewGRU,1h,departure,82.95,1.41
P9,PewLSTM,1h,departure,79.84,1.76
P9,GRU,1h,departure,48.78,4.4
P9,PewGRU,1h,departure,80.63,2.09
P10,PewLSTM,1h,departure,82.64,1.36
P10,GRU,1h,departure,70.79,1.45
P10,PewGRU,1h,departure,68.23,1.49
