Method	Horizon	Accuracy(%)	Accuracy_raw(%)	RMSE	MAE	MAPE(%)
PewLSTM	1	84.20	-75.61	11.1688	8.9635	134463.24
PewLSTM	2	83.79	-70.35	11.9021	9.2080	137585.11
PewLSTM	3	81.82	-78.06	12.5639	10.4908	139133.95
PewLSTM w/o Periodic	1	81.76	-77.61	12.2082	10.1436	154774.31
PewLSTM w/o Periodic	2	79.49	-79.65	13.4849	11.3581	138658.92
PewLSTM w/o Periodic	3	82.67	-76.34	12.0052	9.8765	162724.28
PewLSTM w/o Weather	1	78.09	-84.80	15.1845	12.9071	107565.20
PewLSTM w/o Weather	2	81.19	-75.87	13.4321	10.7840	110179.63
PewLSTM w/o Weather	3	76.18	-77.11	14.7668	12.5520	169604.19
Regression (Random Forest)	1	93.88	-63.31	5.1387	3.2693	24011.62
Regression (Random Forest)	2	93.81	-63.22	5.2069	3.3105	26367.61
Regression (Random Forest)	3	93.73	-63.22	5.2941	3.3579	27070.01
Simple LSTM	1	80.21	-71.52	14.7572	11.5222	102797.44
Simple LSTM	2	81.81	-75.90	11.9885	10.0868	158573.59
Simple LSTM	3	83.05	-71.27	13.2199	10.1858	124422.45
