Method	Horizon	Accuracy(%)	RMSE	MAE	MAPE(%)
PewLSTM	1	8.42	11.6930	9.3731	117239.02
PewLSTM	2	6.76	12.6700	10.0371	102799.55
PewLSTM	3	6.13	13.0863	10.2427	112849.59
PewLSTM w/o Periodic	1	-1.84	15.0788	12.5798	116227.45
PewLSTM w/o Periodic	2	5.55	12.1818	9.9323	116684.21
PewLSTM w/o Periodic	3	-0.74	14.4234	12.0309	118789.59
PewLSTM w/o Weather	1	-0.45	12.1181	9.9666	116532.46
PewLSTM w/o Weather	2	-5.02	16.2584	14.1232	98534.29
PewLSTM w/o Weather	3	13.64	11.8983	9.1598	92361.86
Regression (Random Forest)	1	38.54	5.1268	3.5098	26061.47
Regression (Random Forest)	2	38.28	5.2400	3.5786	26350.48
Regression (Random Forest)	3	37.66	5.3618	3.6586	27091.10
Simple LSTM	1	7.11	12.3181	9.7832	117106.92
Simple LSTM	2	1.33	14.3244	11.9249	111103.15
Simple LSTM	3	5.30	12.6675	10.0118	117536.14
